Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackleyn2,GA,-199.819039,-198.926456,0.672792,0.978,40000,2,0.0
ackleyn2,PSO,-199.997775,-199.969237,0.019051,0.197,40000,2,0.0
bohachevskyn1,GA,0.076262,1.850980,1.976225,0.951,40000,2,0.0
bohachevskyn1,PSO,0.000033,0.025902,0.032789,0.206,40000,2,0.0
booth,GA,0.004578,0.193235,0.169118,0.959,40000,2,0.0
booth,PSO,0.000000,0.000049,0.000057,0.199,40000,2,0.0
brent,GA,0.000334,0.033341,0.034071,0.973,40000,2,0.0
brent,PSO,0.000000,0.000000,0.000000,0.199,40000,2,0.0
brown,GA,0.000000,0.000000,0.000000,1.097,40000,30,0.0
brown,PSO,0.000000,0.000000,0.000000,0.385,40000,30,0.0
dropwave,GA,-0.960725,-0.930076,0.033826,0.973,40000,2,0.0
dropwave,PSO,-0.999998,-0.999819,0.000182,0.211,40000,2,0.0
exponential,GA,-9.915310,-9.664248,0.156699,1.098,40000,30,0.0
exponential,PSO,-9.661557,-8.988269,0.493649,0.372,40000,30,0.0
powellsum,GA,0.001835,0.009689,0.007138,1.115,40000,30,0.0
powellsum,PSO,0.005938,0.011462,0.003341,0.397,40000,30,0.0
ridge,GA,-97.440297,-95.606061,1.091481,1.132,40000,30,0.0
ridge,PSO,-100.000000,-100.000000,0.000000,0.385,40000,30,0.0
schaffern1,GA,0.000017,0.026831,0.019170,0.975,40000,2,0.0
schaffern1,PSO,0.000000,0.000002,0.000002,0.211,40000,2,0.0
schaffern2,GA,0.000040,0.032280,0.026574,1.066,40000,2,0.0
schaffern2,PSO,0.000000,0.000007,0.000010,0.235,40000,2,0.0
schaffern3,GA,0.005915,0.029807,0.019625,1.040,40000,2,0.0
schaffern3,PSO,0.001571,0.001675,0.000110,0.232,40000,2,0.0
schaffern4,GA,0.292698,0.309182,0.010065,1.064,40000,2,0.0
schaffern4,PSO,0.292580,0.292666,0.000084,0.219,40000,2,0.0
schwefel220,GA,7.331029,19.421189,7.267325,1.189,40000,30,0.0
schwefel220,PSO,17.573571,25.925801,4.181285,0.438,40000,30,0.0
schwefel221,GA,13.321664,23.994939,7.443768,1.111,40000,30,0.0
schwefel221,PSO,20.739876,27.531419,3.612621,0.376,40000,30,0.0
schwefel222,GA,11.334251,45.504584,13.480566,1.186,40000,30,0.0
schwefel222,PSO,38.433885,53.589798,9.515234,0.475,40000,30,0.0
schwefel223,GA,14917.270762,837896719165.581421,3623198165751.706055,1.337,40000,30,0.0
schwefel223,PSO,2821486.909100,358689137.453947,378784584.123677,0.460,40000,30,0.0
sphere,GA,0.072589,0.309425,0.201890,1.138,40000,30,0.0
sphere,PSO,0.137638,0.282550,0.090078,0.433,40000,30,0.0
sumsquares,GA,0.271349,1.021755,0.543244,1.167,40000,30,0.0
sumsquares,PSO,0.637999,1.333489,0.431145,0.397,40000,30,0.0
threehumpcamel,GA,0.000119,0.032603,0.089245,1.153,40000,2,0.0
threehumpcamel,PSO,0.000000,0.000004,0.000005,0.247,40000,2,0.0
trid,GA,0.230773,1.251233,0.803108,1.235,40000,30,0.0
trid,PSO,0.715171,1.470435,0.364645,0.389,40000,30,0.0
xinsheyangn3,GA,-9.584819,-9.066387,0.312225,1.203,40000,30,0.0
xinsheyangn3,PSO,-9.433047,-7.557001,1.048142,0.451,40000,30,0.0
