Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackleyn2,GA,-199.902014,-199.336330,0.356289,0.367,5470,30,0.0
ackleyn2,PSO,-199.969073,-199.811500,0.101117,0.123,8320,30,0.0
bohachevskyn1,GA,0.127776,0.999930,0.786623,0.267,4160,30,0.0
bohachevskyn1,PSO,0.124557,0.393294,0.235853,0.114,10840,30,0.0
booth,GA,0.016186,0.272710,0.290225,0.190,4390,30,0.0
booth,PSO,0.000005,0.000304,0.000379,0.120,13740,30,0.0
brent,GA,0.000380,0.026175,0.030510,0.282,6500,30,0.0
brent,PSO,0.000000,0.000000,0.000000,0.046,5120,30,0.0
brown,GA,0.000069,0.002196,0.002471,0.196,5100,30,0.0
brown,PSO,0.000005,0.000112,0.000110,0.137,11620,30,0.0
dropwave,GA,-0.936244,-0.935606,0.001202,0.252,5420,30,0.0
dropwave,PSO,-0.999439,-0.996494,0.003524,0.081,9060,30,0.0
exponential,GA,-0.999927,-0.998493,0.001738,0.185,4730,30,0.0
exponential,PSO,-0.999994,-0.999971,0.000021,0.132,11360,30,0.0
powellsum,GA,0.000000,0.000016,0.000015,0.287,5560,30,0.0
powellsum,PSO,0.000000,0.000000,0.000000,0.102,9080,30,0.0
ridge,GA,-9.980453,-9.949273,0.025981,0.322,7540,30,0.0
ridge,PSO,-9.999997,-9.999809,0.000148,0.103,9160,30,0.0
schaffern1,GA,0.000032,0.039640,0.058295,0.246,6310,30,0.0
schaffern1,PSO,0.000003,0.000013,0.000008,0.150,12540,30,0.0
schaffern2,GA,0.000349,0.033635,0.031835,0.292,5990,30,0.0
schaffern2,PSO,0.000004,0.000043,0.000046,0.166,13080,30,0.0
schaffern3,GA,0.013023,0.055617,0.037145,0.247,5310,30,0.0
schaffern3,PSO,0.001794,0.002656,0.000814,0.104,9780,30,0.0
schaffern4,GA,0.293522,0.300846,0.006558,0.159,3860,30,0.0
schaffern4,PSO,0.293143,0.293546,0.000267,0.103,9880,30,0.0
schwefel220,GA,1.997544,7.194511,5.733270,0.687,12680,30,0.0
schwefel220,PSO,24.204596,29.417075,3.798936,0.215,12860,30,0.0
schwefel221,GA,5.158098,6.723331,1.229335,0.664,15040,30,0.0
schwefel221,PSO,30.397936,32.459958,2.024267,0.219,13960,30,0.0
schwefel222,GA,8.192699,17.682534,5.546782,0.669,14240,30,0.0
schwefel222,PSO,45.580628,66.726369,16.142872,0.176,10720,30,0.0
schwefel223,GA,3.708220,407748.871656,762831.409483,0.680,14090,30,0.0
schwefel223,PSO,82786205.493206,844791115.542462,703556389.470702,0.212,13500,30,0.0
sphere,GA,0.009323,0.038505,0.032711,0.654,13400,30,0.0
sphere,PSO,0.244757,0.408354,0.104369,0.165,10380,30,0.0
sumsquares,GA,0.000286,0.008065,0.010284,0.232,5030,30,0.0
sumsquares,PSO,0.000002,0.000080,0.000081,0.150,12040,30,0.0
threehumpcamel,GA,0.000697,0.007454,0.009200,0.282,5890,30,0.0
threehumpcamel,PSO,0.000001,0.000038,0.000049,0.171,14900,30,0.0
trid,GA,-1.999234,-1.961842,0.062310,0.346,6250,30,0.0
trid,PSO,-1.999985,-1.999925,0.000055,0.115,13060,30,0.0
xinsheyangn3,GA,-0.999146,-0.992158,0.003720,0.130,3650,30,0.0
xinsheyangn3,PSO,-0.999912,-0.999857,0.000051,0.114,9920,30,0.0
