Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackley,GA,9.129097,16.187843,6.228046,0.694,14400,30,0.0
ackley,PSO,36.785681,47.775038,6.009900,0.211,11240,30,0.0
ackleyn3,GA,-186.240282,-179.978992,5.389281,0.184,5070,30,0.0
ackleyn3,PSO,-186.350019,-186.025793,0.259849,0.181,12440,30,0.0
ackleyn4,GA,-4.576928,-4.379866,0.278147,0.230,4910,30,0.0
ackleyn4,PSO,-4.588108,-4.584107,0.005475,0.158,11900,30,0.0
adjiman,GA,-10.007793,-9.965344,0.049487,0.215,5030,30,0.0
adjiman,PSO,-10.017622,-10.017622,0.000000,0.141,13460,30,0.0
bartelsconn,GA,1.008462,1.086253,0.061112,0.250,4320,30,0.0
bartelsconn,PSO,1.000013,1.002065,0.002610,0.131,13100,30,0.0
beale,GA,0.000323,0.027698,0.033900,0.164,4540,30,0.0
beale,PSO,0.000014,0.000098,0.000096,0.128,11880,30,0.0
bird,GA,-106.693145,-106.318900,0.339182,0.236,4450,30,0.0
bird,PSO,-106.764415,-106.747023,0.021184,0.172,12960,30,0.0
bohachevskyn2,GA,0.048379,0.882744,0.802871,0.267,5190,30,0.0
bohachevskyn2,PSO,0.002005,0.153798,0.134954,0.130,11300,30,0.0
bukinn6,GA,229.405537,229.984153,0.685000,0.278,6460,30,0.0
bukinn6,PSO,229.178785,229.178785,0.000000,0.060,5220,30,0.0
carromtable,GA,-24.156673,-24.082526,0.079270,0.259,5170,30,0.0
carromtable,PSO,-24.156784,-24.156728,0.000048,0.177,12160,30,0.0
crossintray,GA,-2.062605,-2.062470,0.000110,0.266,5100,30,0.0
crossintray,PSO,-2.062611,-2.062591,0.000019,0.142,11280,30,0.0
easom,GA,-0.885839,-0.412744,0.373517,0.233,4460,30,0.0
easom,PSO,-0.997555,-0.993649,0.004152,0.111,11240,30,0.0
eggcrate,GA,0.005158,0.030715,0.026723,0.281,5300,30,0.0
eggcrate,PSO,0.000057,0.003269,0.003604,0.183,12640,30,0.0
forrester,PSO,-3657.805224,-3438.699988,268.348011,0.189,17420,30,0.0
goldsteinprice,GA,3.001776,3.030637,0.024183,0.379,7320,30,0.0
goldsteinprice,PSO,3.000142,3.001341,0.001324,0.110,9160,30,0.0
gramacylee,PSO,-2.873898,-2.873806,0.000156,0.090,10020,30,0.0
griewank,GA,1.143178,1.919877,0.857605,0.672,11820,30,0.0
griewank,PSO,7.408191,9.706778,1.214513,0.194,9620,30,0.0
happycat,GA,0.017725,0.089891,0.051229,0.235,5020,30,0.0
happycat,PSO,0.002486,0.010403,0.005164,0.113,9560,30,0.0
himmelblau,GA,0.015410,0.194916,0.149483,0.181,3200,30,0.0
himmelblau,PSO,0.000020,0.000933,0.000853,0.127,11580,30,0.0
holdertable,GA,-19.206936,-19.197866,0.007188,0.281,6600,30,0.0
holdertable,PSO,-19.208496,-19.208390,0.000065,0.143,11680,30,0.0
keane,GA,-0.673659,-0.664673,0.011080,0.261,5100,30,0.0
keane,PSO,-0.673657,-0.673404,0.000197,0.092,9500,30,0.0
leon,GA,0.007809,0.073528,0.051135,0.247,4680,30,0.0
leon,PSO,0.000003,0.000048,0.000040,0.132,10080,30,0.0
levin13,GA,0.002723,0.076209,0.076090,0.198,3650,30,0.0
levin13,PSO,0.000835,0.002474,0.001935,0.093,9200,30,0.0
matyas,GA,0.002973,0.019371,0.013875,0.473,6860,30,0.0
matyas,PSO,0.000003,0.000033,0.000030,0.130,10380,30,0.0
mccormick,GA,-1.910393,-1.902101,0.007955,0.602,6800,30,0.0
mccormick,PSO,-1.910508,-1.910508,0.000000,0.140,11420,30,0.0
periodic,GA,0.900041,0.941698,0.047778,0.244,4680,30,0.0
periodic,PSO,0.900010,0.900067,0.000049,0.243,13880,30,0.0
qing,GA,0.000845,0.024052,0.043640,0.294,4870,30,0.0
qing,PSO,0.000254,0.002318,0.001892,0.076,6760,30,0.0
quartic,GA,-0.999813,-0.998657,0.000957,0.240,4960,30,0.0
quartic,PSO,-0.999891,-0.998879,0.000764,0.161,9220,30,0.0
rastrigin,GA,0.936203,3.672914,1.957318,0.936,13750,30,0.0
rastrigin,PSO,31.923328,35.891250,3.152607,0.237,9980,30,0.0
rosenbrock,GA,0.000000,0.000000,0.000000,0.150,2600,30,0.0
rosenbrock,PSO,0.000000,0.000000,0.000000,0.089,5100,30,0.0
salomon,GA,0.099874,0.220543,0.106438,0.285,5110,30,0.0
salomon,PSO,0.080037,0.096221,0.008095,0.136,10840,30,0.0
schwefel,GA,12.640958,52.396419,41.313508,0.893,13070,30,0.0
schwefel,PSO,825.339505,1348.544648,370.347211,0.266,13380,30,0.0
shubertn4,GA,-7.654035,-7.617570,0.042342,0.181,4100,30,0.0
shubertn4,PSO,-7.655929,-7.649561,0.007490,0.190,13560,30,0.0
shubert,GA,-186.653984,-185.922449,0.710659,0.359,5900,30,0.0
shubert,PSO,-186.693294,-185.416196,1.830231,0.191,11340,30,0.0
styblinskitank,GA,-78.325953,-78.292108,0.037799,0.257,5490,30,0.0
styblinskitank,PSO,-78.331990,-78.330858,0.001363,0.126,10760,30,0.0
xinsheyangn2,GA,0.003789,0.098212,0.120865,0.172,3980,30,0.0
xinsheyangn2,PSO,0.001718,0.006697,0.002901,0.126,13240,30,0.0
xinsheyangn4,GA,-0.983744,-0.767929,0.384337,0.279,6350,30,0.0
xinsheyangn4,PSO,-0.996490,-0.990475,0.003979,0.114,10420,30,0.0
zakharov,GA,0.023734,0.069156,0.057194,0.927,13630,30,0.0
zakharov,PSO,0.653150,1.012742,0.315471,0.179,8280,30,0.0
