Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
schaffern3,GA,0.018648,0.043660,0.028836,0.270,4970,30,0.0
schaffern3,PSO,0.001580,0.002069,0.000407,0.277,10320,30,0.0
schaffern4,GA,0.309649,0.311889,0.001756,0.361,5780,30,0.0
schaffern4,PSO,0.292693,0.292874,0.000162,0.214,9600,30,0.0
schwefel,GA,16.137927,55.430371,42.676411,0.786,13110,30,0.0
schwefel,PSO,773.654381,1137.502885,222.889144,0.410,16420,30,0.0
shubertn4,GA,-7.654634,-7.646690,0.005996,0.278,5030,30,0.0
shubertn4,PSO,-7.654870,-7.645971,0.014918,0.196,9720,30,0.0
shubert,GA,-186.512559,-179.302019,12.506514,0.320,5960,30,0.0
shubert,PSO,-186.725409,-185.391101,1.854140,0.199,8780,30,0.0
styblinskitank,GA,-78.322346,-78.255138,0.053753,0.356,7670,30,0.0
styblinskitank,PSO,-78.332052,-78.328020,0.006633,0.236,10800,30,0.0
threehumpcamel,GA,0.000331,0.002330,0.001387,0.307,5030,30,0.0
threehumpcamel,PSO,0.000001,0.000060,0.000092,0.249,11240,30,0.0
xinsheyangn2,GA,0.020137,0.111114,0.113928,0.328,6110,30,0.0
xinsheyangn2,PSO,0.003180,0.009957,0.006208,0.322,11260,30,0.0
xinsheyangn3,GA,-0.999550,-0.993954,0.009474,0.355,7290,30,0.0
xinsheyangn3,PSO,-1.000000,-0.999892,0.000101,0.233,10540,30,0.0
xinsheyangn4,GA,-0.970158,-0.916922,0.049400,0.357,7300,30,0.0
xinsheyangn4,PSO,-0.998918,-0.993155,0.004513,0.221,10340,30,0.0
