Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackley,GA,15.175105,20.495837,3.783871,0.400,13960,30,0.0
ackley,PSO,41.856171,53.106887,6.522488,0.107,10780,30,0.0
ackleyn3,GA,-186.096926,-183.589791,2.254882,0.175,6940,2,0.0
ackleyn3,PSO,-186.410849,-186.134884,0.179115,0.079,15160,2,0.0
ackleyn4,GA,0.000000,0.000000,0.000000,0.073,2600,30,0.0
ackleyn4,PSO,0.000000,0.000000,0.000000,0.049,5100,30,0.0
adjiman,GA,-10.003375,-9.879645,0.069169,0.123,5030,2,0.0
adjiman,PSO,-10.017622,-10.017622,0.000000,0.055,10500,2,0.0
bartelsconn,GA,1.015034,1.041087,0.024344,0.126,5060,2,0.0
bartelsconn,PSO,1.000177,1.001553,0.001177,0.057,11140,2,0.0
beale,GA,0.021574,0.053413,0.027722,0.154,6150,2,0.0
beale,PSO,0.000005,0.000211,0.000213,0.056,11080,2,0.0
bird,GA,-106.617546,-104.841056,2.759930,0.136,5340,2,0.0
bird,PSO,-106.762528,-106.747005,0.020258,0.057,10880,2,0.0
bohachevskyn2,GA,0.407356,1.528422,1.079726,0.132,5270,2,0.0
bohachevskyn2,PSO,0.017578,0.138533,0.078478,0.057,10960,2,0.0
bukinn6,GA,229.612671,229.810345,0.277357,0.154,6220,2,0.0
bukinn6,PSO,229.178785,229.178785,0.000000,0.028,5240,2,0.0
carromtable,GA,-24.153892,-24.122509,0.032994,0.144,5670,2,0.0
carromtable,PSO,-24.156815,-24.156691,0.000076,0.061,11400,2,0.0
crossintray,GA,-2.062611,-2.062540,0.000095,0.148,5860,2,0.0
crossintray,PSO,-2.062611,-2.062604,0.000006,0.061,11700,2,0.0
easom,GA,-0.904817,-0.315777,0.331524,0.185,7440,2,0.0
easom,PSO,-0.999919,-0.988360,0.006621,0.065,12120,2,0.0
eggcrate,GA,0.010968,0.130522,0.125732,0.116,4660,2,0.0
eggcrate,PSO,0.000045,0.000271,0.000189,0.065,12680,2,0.0
forrester,PSO,-3657.805211,-3438.699394,268.348524,0.063,13540,1,0.0
goldsteinprice,GA,3.022163,8.744715,11.345631,0.179,7180,2,0.0
goldsteinprice,PSO,3.000733,3.004144,0.003461,0.047,8820,2,0.0
gramacylee,PSO,-2.873899,-2.873883,0.000020,0.045,9980,1,0.0
griewank,GA,0.907267,1.903422,0.975563,0.454,15340,30,0.0
griewank,PSO,6.000506,8.366358,1.241054,0.108,10100,30,0.0
happycat,GA,0.956714,1.283826,0.263425,0.412,14310,30,0.0
happycat,PSO,6.471572,6.872186,0.284272,0.110,11360,30,0.0
himmelblau,GA,0.001957,0.035073,0.030956,0.123,4950,2,0.0
himmelblau,PSO,0.000047,0.000680,0.001022,0.055,10360,2,0.0
holdertable,GA,-19.207252,-19.204400,0.002575,0.119,4720,2,0.0
holdertable,PSO,-19.208501,-19.208301,0.000236,0.064,12300,2,0.0
keane,GA,-0.673003,-0.667815,0.007102,0.106,4210,2,0.0
keane,PSO,-0.673658,-0.673460,0.000188,0.057,10660,2,0.0
leon,GA,0.010558,0.199951,0.154273,0.204,8190,2,0.0
leon,PSO,0.000000,0.000020,0.000020,0.072,13980,2,0.0
levin13,GA,0.051101,0.099401,0.042443,0.149,5920,2,0.0
levin13,PSO,0.001400,0.002761,0.000915,0.069,13820,2,0.0
matyas,GA,0.000107,0.031063,0.022461,0.208,8350,2,0.0
matyas,PSO,0.000002,0.000039,0.000044,0.053,10280,2,0.0
mccormick,GA,-1.910314,-1.908910,0.001020,0.168,6600,2,0.0
mccormick,PSO,-1.910508,-1.910508,0.000000,0.052,10180,2,0.0
periodic,GA,9.072032,9.173243,0.090031,0.377,13190,30,0.0
periodic,PSO,10.514646,10.792706,0.165590,0.097,10040,30,0.0
qing,GA,0.032691,0.137739,0.075314,0.400,14030,30,0.0
qing,PSO,2.620254,2.802017,0.196524,0.079,8440,30,0.0
quartic,GA,-6.584226,-5.750827,0.510176,0.159,5440,30,0.0
quartic,PSO,-6.606541,-6.207025,0.276612,0.119,11340,30,0.0
rastrigin,GA,1.437516,3.181157,1.799013,0.413,14720,30,0.0
rastrigin,PSO,32.635106,38.224647,4.113179,0.089,9360,30,0.0
rosenbrock,GA,0.000000,0.000000,0.000000,0.072,2600,30,0.0
rosenbrock,PSO,0.000000,0.000000,0.000000,0.048,5100,30,0.0
salomon,GA,2.733009,3.821561,0.806653,0.343,12010,30,0.0
salomon,PSO,10.012735,10.739517,0.605917,0.144,15000,30,0.0
schwefel,GA,2.520941,18.733219,11.861706,0.482,17040,30,0.0
schwefel,PSO,842.718024,1184.739017,252.104123,0.149,15680,30,0.0
shubertn4,GA,-38.079831,-37.532727,0.562182,0.315,10640,30,0.0
shubertn4,PSO,-22.848444,-19.309306,1.863805,0.097,9340,30,0.0
shubert,GA,-128.315417,-126.284186,2.121676,0.354,12330,30,0.0
shubert,PSO,-73.506663,-63.652969,5.284839,0.083,7860,30,0.0
styblinskitank,GA,-391.316618,-390.197874,0.964126,0.473,15870,30,0.0
styblinskitank,PSO,-352.782456,-319.547116,27.743283,0.121,10840,30,0.0
xinsheyangn2,GA,0.311375,0.549276,0.311825,0.388,13630,30,0.0
xinsheyangn2,PSO,1.582420,1.815907,0.174725,0.132,13600,30,0.0
xinsheyangn4,GA,-9.837073,-9.577045,0.281013,0.425,14400,30,0.0
xinsheyangn4,PSO,-7.508040,-6.765320,0.644077,0.125,11280,30,0.0
zakharov,GA,0.031196,0.051822,0.016025,0.502,15550,30,0.0
zakharov,PSO,0.316317,1.060117,0.536106,0.133,11960,30,0.0
