Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackley,GA,19.127970,33.832508,6.336515,1.177,40000,30,0.0
ackley,PSO,34.668663,46.080624,7.280247,0.450,40000,30,0.0
ackleyn3,GA,-186.061255,-174.799927,8.759926,1.040,40000,2,0.0
ackleyn3,PSO,-186.410478,-186.357619,0.051949,0.211,40000,2,0.0
ackleyn4,GA,0.000000,0.000000,0.000000,1.488,40000,30,0.0
ackleyn4,PSO,0.000000,0.000000,0.000000,0.584,40000,30,0.0
adjiman,GA,-10.008220,-9.878550,0.094780,1.626,40000,2,0.0
adjiman,PSO,-10.017622,-10.017622,0.000000,0.342,40000,2,0.0
bartelsconn,GA,1.000836,1.049546,0.042095,1.726,40000,2,0.0
bartelsconn,PSO,1.000042,1.000517,0.000463,0.361,40000,2,0.0
beale,GA,0.000021,0.069871,0.174627,1.626,40000,2,0.0
beale,PSO,0.000002,0.000010,0.000006,0.319,40000,2,0.0
bird,GA,-106.739125,-105.694939,2.011919,1.587,40000,2,0.0
bird,PSO,-106.764528,-106.763239,0.001461,0.320,40000,2,0.0
bohachevskyn2,GA,0.108311,1.949585,2.137246,1.562,40000,2,0.0
bohachevskyn2,PSO,0.000154,0.032397,0.033905,0.319,40000,2,0.0
bukinn6,GA,229.226193,229.934484,0.739584,1.527,40000,2,0.0
bukinn6,PSO,229.178785,229.178785,0.000000,0.245,40000,2,0.0
carromtable,GA,-24.156567,-24.117844,0.054504,1.061,40000,2,0.0
carromtable,PSO,-24.156815,-24.156810,0.000005,0.211,40000,2,0.0
crossintray,GA,-2.062598,-2.062382,0.000241,1.034,40000,2,0.0
crossintray,PSO,-2.062611,-2.062609,0.000002,0.217,40000,2,0.0
easom,GA,-0.999565,-0.300371,0.343310,1.054,40000,2,0.0
easom,PSO,-1.000000,-0.998202,0.001948,0.210,40000,2,0.0
eggcrate,GA,0.003784,0.113220,0.108541,1.024,40000,2,0.0
eggcrate,PSO,0.000000,0.000245,0.000253,0.204,40000,2,0.0
forrester,PSO,-3657.805224,-3575.640763,195.590532,0.189,40000,1,0.0
goldsteinprice,GA,3.004626,4.514871,5.938855,1.071,40000,2,0.0
goldsteinprice,PSO,3.000001,3.000146,0.000199,0.213,40000,2,0.0
gramacylee,PSO,-2.873899,-2.873899,0.000000,0.197,40000,1,0.0
griewank,GA,4.254213,5.788207,0.998536,1.268,40000,30,0.0
griewank,PSO,6.023710,7.768302,0.983382,0.446,40000,30,0.0
happycat,GA,1.999646,4.416388,1.146271,1.253,40000,30,0.0
happycat,PSO,4.494479,5.611225,0.677308,0.414,40000,30,0.0
himmelblau,GA,0.000070,0.071183,0.084596,1.073,40000,2,0.0
himmelblau,PSO,0.000001,0.000063,0.000088,0.212,40000,2,0.0
holdertable,GA,-19.207089,-19.183506,0.039441,1.077,40000,2,0.0
holdertable,PSO,-19.208503,-19.149103,0.258869,0.244,40000,2,0.0
keane,GA,-0.673639,-0.662851,0.012215,1.081,40000,2,0.0
keane,PSO,-0.673667,-0.673634,0.000037,0.213,40000,2,0.0
leon,GA,0.000115,0.171075,0.165506,1.067,40000,2,0.0
leon,PSO,0.000000,0.000006,0.000005,0.207,40000,2,0.0
levin13,GA,0.006813,0.140639,0.114155,1.096,40000,2,0.0
levin13,PSO,0.000000,0.000137,0.000181,0.210,40000,2,0.0
matyas,GA,0.000051,0.020275,0.030878,1.071,40000,2,0.0
matyas,PSO,0.000000,0.000001,0.000001,0.208,40000,2,0.0
mccormick,GA,-1.909927,-1.904209,0.005665,1.080,40000,2,0.0
mccormick,PSO,-1.910508,-1.910508,0.000000,0.208,40000,2,0.0
periodic,GA,9.184804,9.444830,0.120986,1.222,40000,30,0.0
periodic,PSO,9.886039,10.259877,0.194968,0.396,40000,30,0.0
qing,GA,0.101651,0.936637,0.695568,1.212,40000,30,0.0
qing,PSO,0.651220,1.885627,0.524014,0.388,40000,30,0.0
quartic,GA,-7.303064,-6.490033,0.371501,1.260,40000,30,0.0
quartic,PSO,-7.222449,-6.491079,0.408374,0.423,40000,30,0.0
rastrigin,GA,5.082495,9.507195,2.870286,1.231,40000,30,0.0
rastrigin,PSO,15.750841,27.008591,5.451917,0.388,40000,30,0.0
rosenbrock,GA,0.000000,0.000000,0.000000,1.213,40000,30,0.0
rosenbrock,PSO,0.000000,0.000000,0.000000,0.384,40000,30,0.0
salomon,GA,3.983895,6.717421,1.459203,1.212,40000,30,0.0
salomon,PSO,8.307744,9.448842,0.815094,0.418,40000,30,0.0
schwefel,GA,66.824782,244.245396,125.267693,1.216,40000,30,0.0
schwefel,PSO,636.515190,967.299181,283.724245,0.389,40000,30,0.0
shubertn4,GA,-37.762409,-35.962294,1.540813,1.242,40000,30,0.0
shubertn4,PSO,-25.533204,-22.262669,1.615678,0.412,40000,30,0.0
shubert,GA,-123.184907,-118.109377,3.988275,1.226,40000,30,0.0
shubert,PSO,-89.013084,-73.027579,4.951224,0.419,40000,30,0.0
styblinskitank,GA,-385.418310,-374.254773,9.994741,1.238,40000,30,0.0
