Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
ackley,GA,18.934258,24.828513,3.387361,0.965,10940,30,0.0
ackley,PSO,39.472423,49.434682,5.300475,0.643,10900,30,0.0
ackleyn2,GA,-199.479118,-199.294488,0.177933,0.527,4330,30,0.0
ackleyn2,PSO,-199.962466,-199.861980,0.062290,0.472,11260,30,0.0
ackleyn3,GA,-185.253422,-182.228254,4.211321,0.874,7380,30,0.0
ackleyn3,PSO,-186.325821,-186.118032,0.242911,0.487,12080,30,0.0
ackleyn4,GA,-4.531997,-4.337531,0.337643,0.645,5410,30,0.0
ackleyn4,PSO,-4.588296,-4.582923,0.004873,0.412,10180,30,0.0
adjiman,GA,-10.011241,-9.963466,0.045986,0.576,5340,30,0.0
adjiman,PSO,-10.017622,-10.017621,0.000001,0.312,10420,30,0.0
bartelsconn,GA,1.015620,1.040107,0.017841,0.253,4040,30,0.0
bartelsconn,PSO,1.000159,1.001829,0.001865,0.234,9700,30,0.0
beale,GA,0.026336,0.195779,0.289062,0.331,5310,30,0.0
beale,PSO,0.000008,0.000138,0.000152,0.260,14000,30,0.0
bird,GA,-106.735948,-105.966040,0.974422,0.326,6740,30,0.0
bird,PSO,-106.764251,-106.751675,0.010910,0.281,14120,30,0.0
bohachevskyn1,GA,0.106285,1.361957,1.162813,0.378,6130,30,0.0
bohachevskyn1,PSO,0.091437,0.357459,0.150113,0.179,8560,30,0.0
bohachevskyn2,GA,0.299947,0.840533,0.573683,0.254,5700,30,0.0
bohachevskyn2,PSO,0.003836,0.071457,0.079985,0.353,12000,30,0.0
booth,GA,0.005030,0.122357,0.129721,0.325,6430,30,0.0
booth,PSO,0.000011,0.000866,0.001223,0.174,10620,30,0.0
brent,GA,0.000999,0.022806,0.025399,0.286,4870,30,0.0
brent,PSO,0.000000,0.000000,0.000000,0.097,5180,30,0.0
brown,GA,0.000241,0.002648,0.002696,0.360,6280,30,0.0
brown,PSO,0.000007,0.000082,0.000059,0.230,14440,30,0.0
bukinn6,GA,229.356114,230.194744,1.019794,0.214,5010,30,0.0
bukinn6,PSO,229.178785,229.178785,0.000000,0.083,5200,30,0.0
carromtable,GA,-24.153040,-24.057380,0.089683,0.224,4560,30,0.0
carromtable,PSO,-24.156810,-24.156757,0.000042,0.233,11800,30,0.0
crossintray,GA,-2.062611,-2.062460,0.000176,0.297,5630,30,0.0
crossintray,PSO,-2.062611,-2.062582,0.000029,0.169,8980,30,0.0
dropwave,GA,-0.935868,-0.934380,0.001525,0.164,3090,30,0.0
dropwave,PSO,-0.999649,-0.995304,0.004247,0.177,10100,30,0.0
easom,GA,-0.988480,-0.253001,0.383004,0.300,4940,30,0.0
easom,PSO,-0.996409,-0.980521,0.018137,0.394,13220,30,0.0
eggcrate,GA,0.000103,0.196991,0.373279,0.565,6580,30,0.0
eggcrate,PSO,0.000015,0.000694,0.000601,0.563,15420,30,0.0
exponential,GA,-0.999977,-0.997510,0.002753,0.560,5090,30,0.0
exponential,PSO,-0.999999,-0.999920,0.000060,0.410,10960,30,0.0
goldsteinprice,GA,3.010762,20.923610,14.699715,0.463,5150,30,0.0
goldsteinprice,PSO,3.001123,3.003536,0.002578,0.254,11140,30,0.0
gramacylee,PSO,-2.873899,-2.873886,0.000025,0.301,13580,30,0.0
griewank,GA,0.620598,1.387652,0.816466,0.924,15840,30,0.0
griewank,PSO,8.574692,9.748740,0.950369,0.320,11300,30,0.0
happycat,GA,0.009228,0.104268,0.086662,0.183,4530,30,0.0
happycat,PSO,0.002537,0.004722,0.001872,0.180,10760,30,0.0
himmelblau,GA,0.001221,0.172227,0.214586,0.247,5760,30,0.0
himmelblau,PSO,0.000148,0.005916,0.008817,0.215,14700,30,0.0
