Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
holdertable,GA,-19.208217,-19.203888,0.003353,0.275,5900,30,0.0
holdertable,PSO,-19.208480,-19.208264,0.000155,0.177,12240,30,0.0
keane,GA,-0.673601,-0.673254,0.000331,0.286,5870,30,0.0
keane,PSO,-0.673592,-0.673501,0.000078,0.160,9220,30,0.0
leon,GA,0.056772,0.136210,0.127656,0.238,5050,30,0.0
leon,PSO,0.000002,0.000102,0.000094,0.151,9080,30,0.0
levin13,GA,0.012956,0.100654,0.083723,0.293,6090,30,0.0
levin13,PSO,0.000325,0.000939,0.000543,0.238,14500,30,0.0
matyas,GA,0.000550,0.014095,0.024480,0.287,6390,30,0.0
matyas,PSO,0.000003,0.000009,0.000006,0.170,12100,30,0.0
mccormick,GA,-1.909896,-1.908384,0.001682,0.341,7090,30,0.0
mccormick,PSO,-1.910508,-1.910508,0.000000,0.217,12020,30,0.0
periodic,GA,0.900010,0.940862,0.048381,0.196,3740,30,0.0
periodic,PSO,0.900374,0.900719,0.000386,0.215,12560,30,0.0
qing,GA,0.001080,0.005125,0.005312,0.284,5510,30,0.0
qing,PSO,0.000002,0.000473,0.000448,0.193,12040,30,0.0
rastrigin,GA,1.400787,3.657890,1.867687,0.640,13110,30,0.0
rastrigin,PSO,36.534739,40.121253,2.373820,0.243,11100,30,0.0
salomon,GA,0.102886,0.348023,0.189275,0.262,5920,30,0.0
salomon,PSO,0.093069,0.098991,0.003045,0.172,9460,30,0.0
schaffern1,GA,0.000222,0.032757,0.020531,0.217,4980,30,0.0
schaffern1,PSO,0.000000,0.000059,0.000077,0.223,11260,30,0.0
schaffern2,GA,0.004468,0.026317,0.023508,0.202,4090,30,0.0
schaffern2,PSO,0.000002,0.000144,0.000125,0.138,9100,30,0.0
schaffern3,GA,0.004802,0.041585,0.048093,0.264,5140,30,0.0
schaffern3,PSO,0.001613,0.002541,0.000881,0.183,10340,30,0.0
schaffern4,GA,0.294020,0.324006,0.032724,0.236,4380,30,0.0
schaffern4,PSO,0.292647,0.293210,0.000475,0.192,10600,30,0.0
schwefel,GA,16.945068,44.396456,35.789063,0.907,14050,30,0.0
schwefel,PSO,759.005575,1366.675602,379.444186,0.298,11600,30,0.0
shubertn4,GA,-7.655519,-7.636560,0.014857,0.333,6170,30,0.0
shubertn4,PSO,-7.655870,-7.616800,0.044414,0.284,10940,30,0.0
shubert,GA,-186.565050,-185.051380,2.073947,0.319,5310,30,0.0
shubert,PSO,-186.726613,-186.443467,0.446307,0.337,13580,30,0.0
styblinskitank,GA,-78.327617,-78.224283,0.083723,0.361,4620,30,0.0
styblinskitank,PSO,-78.332320,-78.329103,0.005593,0.262,12180,30,0.0
threehumpcamel,GA,0.000771,0.003718,0.003262,0.328,5960,30,0.0
threehumpcamel,PSO,0.000004,0.000029,0.000026,0.296,14520,30,0.0
xinsheyangn2,GA,0.004349,0.264890,0.130271,0.331,5810,30,0.0
xinsheyangn2,PSO,0.000839,0.003658,0.002259,0.264,12380,30,0.0
xinsheyangn3,GA,-0.999864,-0.995757,0.004047,0.335,5930,30,0.0
xinsheyangn3,PSO,-0.999967,-0.999783,0.000218,0.203,11740,30,0.0
xinsheyangn4,GA,-0.982122,-0.950668,0.025281,0.260,5260,30,0.0
xinsheyangn4,PSO,-0.999199,-0.989800,0.008987,0.211,13660,30,0.0
