Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
powellsum,GA,0.000000,0.000002,0.000002,0.556,7890,30,0.0
powellsum,PSO,0.000000,0.000000,0.000000,0.367,12500,30,0.0
quartic,GA,-0.999724,-0.998614,0.001036,0.380,5530,30,0.0
quartic,PSO,-0.999937,-0.999053,0.000712,0.196,9200,30,0.0
ridge,GA,-9.976366,-9.884187,0.066166,0.314,4320,30,0.0
ridge,PSO,-9.999992,-9.999781,0.000161,0.196,7760,30,0.0
rosenbrock,GA,0.000000,0.000000,0.000000,0.139,2600,30,0.0
rosenbrock,PSO,0.000000,0.000000,0.000000,0.153,5100,30,0.0
schwefel220,GA,4.006568,8.916547,2.624224,0.628,13190,30,0.0
schwefel220,PSO,25.131934,33.079557,6.627649,0.262,11220,30,0.0
schwefel221,GA,3.768964,8.483449,3.334024,0.734,13900,30,0.0
schwefel221,PSO,15.586688,27.555071,7.067017,0.271,10880,30,0.0
schwefel222,GA,12.399544,19.664801,5.495445,0.672,13480,30,0.0
schwefel222,PSO,53.340632,68.338002,9.340719,0.245,9320,30,0.0
schwefel223,GA,2.083126,106220.265432,211886.316061,0.747,14430,30,0.0
schwefel223,PSO,16918265.246001,880908393.940498,1277923322.798345,0.358,14680,30,0.0
sphere,GA,0.012005,0.043222,0.024331,0.696,13480,30,0.0
sphere,PSO,0.324960,0.483281,0.125807,0.286,12580,30,0.0
sumsquares,GA,0.000109,0.021293,0.017338,0.248,5410,30,0.0
sumsquares,PSO,0.000007,0.000259,0.000262,0.180,12100,30,0.0
trid,GA,-1.999808,-1.986704,0.014897,0.226,5030,30,0.0
trid,PSO,-1.999973,-1.999853,0.000083,0.186,11200,30,0.0
zakharov,GA,0.006859,0.120617,0.167110,0.933,14690,30,0.0
zakharov,PSO,0.862714,1.366563,0.255217,0.393,10620,30,0.0
